scope_version,playlist_position,video_id,title,payload_in_bronze,latest_checkpoint_status,last_checked_at,acquisition_status
mit_60001_fall_2016_v1,0,nykOeWgQcHM,1. What is Computation?,True,success,2026-07-23T13:51:20.061676+00:00,payload_available
mit_60001_fall_2016_v1,1,Y6J8I056Ffw,Shell vs. Editor,True,success,2026-07-23T13:52:05.738015+00:00,payload_available
mit_60001_fall_2016_v1,2,F-_PKUUM-qY,Python vs. Math,True,success,2026-07-23T13:53:07.000236+00:00,payload_available
mit_60001_fall_2016_v1,3,EFCdr_43qmU,Bindings,True,success,2026-07-23T13:56:58.754021+00:00,payload_available
mit_60001_fall_2016_v1,4,0jljZRnHwOI,2. Branching and Iteration,True,success,2026-07-23T13:57:34.550475+00:00,payload_available
mit_60001_fall_2016_v1,5,w4uxYDPsjbw,Strings,True,success,2026-07-23T13:58:29.386493+00:00,payload_available
mit_60001_fall_2016_v1,6,lniF6ys2CIk,Comparisons,True,success,2026-07-23T13:59:30.370609+00:00,payload_available
mit_60001_fall_2016_v1,7,jjbWNcIjmzc,Branching,True,success,2026-07-23T14:00:20.080457+00:00,payload_available
mit_60001_fall_2016_v1,8,P-0w8xWcnDQ,While Loops,True,success,2026-07-23T14:01:12.238228+00:00,payload_available
mit_60001_fall_2016_v1,9,mrvBnZIEsZY,For Loops,True,success,2026-07-23T14:01:37.347333+00:00,payload_available
mit_60001_fall_2016_v1,10,SE4P7IVCunE,"3. String Manipulation, Guess and Check, Approximations, Bisection",True,success,2026-07-23T14:02:17.879326+00:00,payload_available
mit_60001_fall_2016_v1,11,-jjUoTiaSHw,String Manipulations,True,success,2026-06-26T08:50:49.317117+00:00,payload_available
mit_60001_fall_2016_v1,12,4WtaFLayz_w,For Loops With Strings,True,success,2026-07-23T14:02:49.416002+00:00,payload_available
mit_60001_fall_2016_v1,13,MjbuarJ7SE0,"4. Decomposition, Abstraction, and Functions",True,success,2026-07-23T14:03:30.870984+00:00,payload_available
mit_60001_fall_2016_v1,14,4gPwo38MNss,Function Calls,True,success,2026-07-23T14:04:22.547005+00:00,payload_available
mit_60001_fall_2016_v1,15,QaOHeMnpnmU,Functions as Arguments,True,success,2026-07-23T14:05:17.999207+00:00,payload_available
mit_60001_fall_2016_v1,16,RvRKT-jXvko,"5. Tuples, Lists, Aliasing, Mutability, and Cloning",True,success,2026-07-23T14:05:41.598636+00:00,payload_available
mit_60001_fall_2016_v1,17,ncpb4wIsQu8,Tuples,True,success,2026-07-23T14:06:41.620873+00:00,payload_available
mit_60001_fall_2016_v1,18,zYVWQpCitKQ,Simple Lists,True,success,2026-07-23T14:07:40.077882+00:00,payload_available
mit_60001_fall_2016_v1,19,SrkqbLOQcEo,List Operations,True,success,2026-07-23T14:08:14.647502+00:00,payload_available
mit_60001_fall_2016_v1,20,FKp-6sojt9A,List Aliasing/Mutation,True,success,2026-07-23T14:09:03.801588+00:00,payload_available
mit_60001_fall_2016_v1,21,WPSeyjX1-4s,6. Recursion and Dictionaries,True,success,2026-07-23T14:09:44.526563+00:00,payload_available
mit_60001_fall_2016_v1,22,9H6muyZjms0,"7. Testing, Debugging, Exceptions, and Assertions",True,success,2026-07-23T14:10:19.413427+00:00,payload_available
mit_60001_fall_2016_v1,23,5McjE8e5gIg,Black Box and Glass Box Testing,True,success,2026-07-23T14:10:56.763307+00:00,payload_available
mit_60001_fall_2016_v1,24,-wz4iU2V-Yo,Errors,True,success,2026-06-26T09:32:07.248808+00:00,payload_available
mit_60001_fall_2016_v1,25,0Whyfs88TYE,Exceptions,True,success,2026-07-23T14:11:49.306976+00:00,payload_available
mit_60001_fall_2016_v1,26,-DP1i2ZU9gk,8. Object Oriented Programming,True,success,2026-06-25T09:15:39.235930+00:00,payload_available
mit_60001_fall_2016_v1,27,vqn_yk5aFcI,Class Definition,True,success,2026-07-23T14:12:40.995427+00:00,payload_available
mit_60001_fall_2016_v1,28,2__KumJsGXc,Class Instance,True,success,2026-07-23T14:13:02.502989+00:00,payload_available
mit_60001_fall_2016_v1,29,goalLDamePE,Methods,True,success,2026-07-23T14:13:27.213796+00:00,payload_available
mit_60001_fall_2016_v1,30,_ax4eNMI9Dw,Method Call,True,success,2026-06-26T10:09:51.769405+00:00,payload_available
mit_60001_fall_2016_v1,31,qq7I2MQNrtU,Special Methods,True,success,2026-07-23T14:13:54.680227+00:00,payload_available
mit_60001_fall_2016_v1,32,FlGjISF3l78,9. Python Classes and Inheritance,True,success,2026-07-23T14:14:44.743894+00:00,payload_available
mit_60001_fall_2016_v1,33,C_pgH5QhIZ8,Getters and Setters,True,success,2026-07-23T14:15:34.578427+00:00,payload_available
mit_60001_fall_2016_v1,34,8s0d87sjy1A,Subclass,True,success,2026-07-23T14:16:27.989629+00:00,payload_available
mit_60001_fall_2016_v1,35,o9nW0uBqvEo,"10. Understanding Program Efficiency, Part 1",True,success,2026-07-23T14:17:03.838027+00:00,payload_available
mit_60001_fall_2016_v1,36,7lQXYl_L28w,"11. Understanding Program Efficiency, Part 2",True,success,2026-07-23T14:18:02.331002+00:00,payload_available
mit_60001_fall_2016_v1,37,6LOwPhPDwVc,12. Searching and Sorting,True,success,2026-07-23T14:18:25.677872+00:00,payload_available
